k,delta_k_static,q,T,eta,E_star
4,0.1557368439233704,0.0,0.1,0.00017031419577322095,5871.50117146743
4,0.1557368439233704,0.0,1.0,0.004720159840492554,211.85723233805763
4,0.1557368439233704,1.0,0.1,0.000308273528566029,3243.8724293052956
4,0.1557368439233704,1.0,1.0,0.00646765167894809,154.61562397600264
5,0.08211473090874044,0.0,0.1,5.235864988671489e-05,19099.040982982508
5,0.08211473090874044,0.0,1.0,0.002972162027884059,336.4554121270164
5,0.08211473090874044,1.0,0.1,9.475389596756179e-05,10553.655760416877
5,0.08211473090874044,1.0,1.0,0.004042313411046225,247.3830943606081
6,0.03432516703150945,0.0,0.1,4.2380946932829834e-07,2359550.8651208626
6,0.03432516703150945,0.0,1.0,0.0007142246110927717,1400.1197725040429
6,0.03432516703150945,1.0,0.1,0.00039105152991505607,2557.207742460998
6,0.03432516703150945,1.0,1.0,0.004784316722988444,209.016262488443
7,0.03432516703150945,0.0,0.1,4.238094693284911e-07,2359550.8651197893
7,0.03432516703150945,0.0,1.0,0.0007142246110927719,1400.1197725040424
7,0.03432516703150945,1.0,0.1,2.407900887845387e-05,41529.9485559312
7,0.03432516703150945,1.0,1.0,0.0012063048565928436,828.9778446424042
8,0.03432516703150945,0.0,0.1,4.238094693286838e-07,2359550.8651187164
8,0.03432516703150945,0.0,1.0,0.0007142246110927725,1400.1197725040413
8,0.03432516703150945,1.0,0.1,2.4079008878454305e-05,41529.94855593046
8,0.03432516703150945,1.0,1.0,0.0012063048565928453,828.977844642403
